case_id,issue_type,symptom,topology,show_output,expected_fault,osi_layer,concept,severity,fix,verification
DNS-01,DNS,"PC could ping server IP but server.local initially failed","PC → 2960 Switch → Server","ping 192.168.1.20 successful; ping server.local initially failed","Incorrect DNS Server configuration on PC","Layer 7","DNS","Medium","Set PC DNS Server to 192.168.1.20","ping server.local → 4/4 replies, 0% loss"
DNS-02,DNS,"PC can ping server IP but cannot resolve server.local","PC -> 2960 Switch -> Server","ping 192.168.1.20 successful; ping server.local failed","Missing DNS A record for server.local","Layer 7","DNS","Medium","Add server.local A record pointing to 192.168.1.20","ping server.local -> 4/4 replies, 0% loss"
DNS-03,DNS,"server.local resolves to an incorrect IP address and ping fails","PC -> 2960 Switch -> Server","ping server.local resolves to 192.168.1.99; 4 packets lost","Incorrect IP address in DNS A record","Layer 7","DNS","Medium","Change server.local A record from 192.168.1.99 to 192.168.1.20","ping server.local -> 4/4 replies, 0% loss"
DNS-04,DNS,"PC can reach the server IP but cannot resolve server.local because DNS service is disabled","PC -> 2960 Switch -> Server","ping 192.168.1.20 successful; ping server.local failed","DNS service is disabled on the server","Layer 7","DNS","Medium","Enable DNS service on Server0","ping server.local -> 4/4 replies, 0% loss"
SUBNET-01,Subnetting,"PC0 cannot communicate with PC1 due to an incorrect subnet mask","PC0 -> Switch0 -> PC1","PC0 was configured with subnet mask 255.255.255.128 while PC1 was configured with 255.255.255.0","Incorrect subnet mask assigned to PC0","Layer 3","Subnetting","Medium","Change PC0 subnet mask to 255.255.255.0","Ping from PC0 to 192.168.10.130 successful with 0% packet loss"
SUBNET-02,Subnetting,"PC0 cannot communicate with PC1 because it is configured in a different subnet","PC0 -> Switch0 -> PC1","PC0: 192.168.20.10/24; PC1: 192.168.10.20/24; ping failed","PC0 was assigned an IP address from the wrong subnet","Layer 3","Subnetting","Medium","Change PC0 IP address to 192.168.10.10 with subnet mask 255.255.255.0","Ping from PC0 to 192.168.10.20 successful with 0% packet loss"
SUBNET-03,Subnetting,"Host cannot communicate because a broadcast address was assigned as a host IP","PC0 -> Switch0 -> PC1","PC0 was assigned 192.168.10.255/24, which is the broadcast address of the 192.168.10.0/24 network","Broadcast address was incorrectly assigned to a host","Layer 3","Subnetting","Medium","Replace the broadcast address with a valid host IP such as 192.168.10.10","Ping from PC0 to 192.168.10.20 successful with 0% packet loss"
GW_IP_01,Gateway/IP,"PC0 is configured with an incorrect default gateway (192.168.10.99) instead of the correct gateway (192.168.10.1)","PC0 -> Switch -> Router","Packets Sent=4 Received=0 Lost=4 (100% loss)","Incorrect default gateway prevents PC0 from communicating with the remote network","Layer 3","Default Gateway","Medium","Change PC0 default gateway from 192.168.10.99 to 192.168.10.1","Ping succeeds with 0% packet loss after correcting the default gateway"
GW_IP_02,Gateway/IP,"PC0 is configured with an incorrect subnet mask (255.255.255.128) instead of 255.255.255.0","PC0 -> Switch -> Router","Packets Sent=4 Received=0 Lost=4 (100% loss)","Incorrect subnet mask causes incorrect network identification and communication failure","Layer 3","Subnet Mask","Medium","Change PC0 subnet mask to 255.255.255.0","Communication succeeds with 0% packet loss after correcting the subnet mask"
GW_IP_03,Gateway/IP,"PC1 is configured with an IP address from the wrong network (192.168.3.10)","PC0 -> Switch -> Router","Packets Sent=4 Received=0 Lost=4 (100% loss)","PC1 belongs to the wrong network, so communication with PC0 fails","Layer 3","IP Network","Medium","Configure PC1 with an IP address from the correct network","Communication succeeds with 0% packet loss after correcting the IP network"
ACL_01,ACL,"PC0 cannot ping PC1 because an ACL blocks ICMP traffic","PC0 -> Switch0 -> Router0 -> Switch1 -> PC1","Packets Sent=4 Received=0 Lost=4 (100% loss)","ACL rule denies ICMP traffic from 192.168.10.10 to 192.168.20.10","Layer 3","Access Control List","Medium","Remove the ACL from G0/0 and delete ACL 100","Packets Sent=4 Received=4 Lost=0 (0% loss)"
ACL_02,ACL,"PC0 cannot ping PC1 because the ACL is applied in the wrong direction","PC0 -> Switch0 -> Router0 -> Switch1 -> PC1","Packets Sent=4 Received=0 Lost=4 (100% loss)","ACL 101 is applied in the wrong direction on Router0 G0/1","Layer 3","Access Control List Direction","Medium","Remove ACL 101 from G0/1 outbound direction","Packets Sent=4 Received=4 Lost=0 (0% loss)"
ACL_03,ACL,"PC0 cannot ping PC1 because the ACL denies traffic between the two networks","PC0 -> Switch0 -> Router0 -> Switch1 -> PC1","Packets Sent=4 Received=0 Lost=4 (100% loss)","ACL 102 denies traffic from 192.168.10.0/24 to 192.168.20.0/24 without a required permit rule","Layer 3","Access Control List","Medium","Replace the deny-only ACL with a permit rule allowing the required traffic","Packets Sent=4 Received=4 Lost=0 (0% loss)"
R_01,Routing,Static Routing,0% Packet Loss,100% Packet Loss,Shutdown FastEthernet0/0 on 1841
R_02,Routing,Default Routing,0% Packet Loss,100% Packet Loss,Shutdown FastEthernet0/1 on 1841
R_03,Routing,Inter-Network Routing,0% Packet Loss,100% Packet Loss,Shutdown FastEthernet0/1 on 1841
R_04,Routing,Dynamic Routing,0% Packet Loss,100% Packet Loss,Shutdown GigabitEthernet0/1 on 2911
DHCP-1,DHCP,Basic DHCP Configuration,PC cannot communicate when DHCP router interface is down,DHCP connectivity/interface failure,Layer 3,DHCP,High
DHCP-2,DHCP,DHCP Pool Failure,PC shows DHCP request failed and cannot reach gateway,DHCP pool removed,Layer 3,DHCP,High
DHCP-3,DHCP,DHCP Interface Failure,PC loses connectivity when router interface is shut down,Router DHCP interface down,Layer 3,DHCP,Critical
DHCP-4,DHCP,DHCP Pool Configuration Failure,PC fails to obtain a valid IP address,DHCP pool unavailable or incorrectly configured,Layer 3,DHCP,High
VLAN-1,VLAN,Basic VLAN Configuration,PC1 cannot communicate with PC2 after VLAN configuration,Incorrect VLAN configuration,Layer 2,VLAN,High
VLAN-2,VLAN,Multiple VLAN Configuration,PC1 cannot communicate with PC2 when they are placed in different VLANs,Devices assigned to different VLANs without inter-VLAN routing,Layer 2,VLAN,High
VLAN-3,VLAN,VLAN Port Assignment,PC1 loses connectivity when its switch port is shut down,Switch port is administratively down,Layer 2,VLAN,High
VLAN-4,VLAN,VLAN Port Assignment Failure,PC1 cannot communicate with PC2 after PC2 is assigned to another VLAN,Incorrect VLAN port assignment,Layer 2,VLAN,High
VLAN-5,VLAN,Wrong VLAN Assignment,PC1 cannot communicate with PC2 after PC2 is moved to another VLAN,PC2 assigned to a different VLAN from PC1,Layer 2,VLAN,High
WIRELESS-1,Wireless,Basic Wireless Connectivity,Laptop cannot communicate with another wireless laptop,Wireless SSID/configuration mismatch,Layer 2,Wireless Networking,High
WIRELESS-2,Wireless,Wireless Adapter Failure,Laptop cannot communicate after wireless adapter is removed,Wireless interface/adapter unavailable,Layer 2,Wireless Networking,High
INT-1,Interface,Interface Shutdown,PC cannot communicate with the router,Router interface is administratively shut down,Layer 1/2,Interface Shutdown,Critical
INT-2,Interface,Wrong IP Address,PC cannot communicate with the router,Incorrect IP address configured on the device,Layer 3,IP Addressing,High
INT-3,Interface,Wrong Subnet Mask,PC cannot communicate with the router,Incorrect subnet mask configured on the interface,Layer 3,Subnet Masking,High
